% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=676656, Thu Oct 16 01:45:45 2025
1 2560 -0.06266648047768733 -0.04995617413201503 0.00452780059984287 0.009978819164789873 0.9681453824359098 0.9982181795581062 1.0325962349668563
2 5120 -0.02899983998234311 -0.017671095917349243 0.021538365918835442 0.02327944246590314 0.9681453824359098 0.9982181795581062 1.0325962349668563
3 7680 -0.001079731976902251 -0.0007339079730480761 0.023161203043817746 0.030780416045585512 0.9681453824359098 0.9982181795581062 1.0325962349668563
4 10240 -0.0850114520512246 -0.07002583653417681 0.031047829377085102 0.04975343583045796 0.9543695963747041 0.989197791116078 1.0538815889684463
5 12800 -0.15167174909433426 -0.1226594934274122 0.08026380394547332 0.11889264740284643 0.9543695963747041 0.989197791116078 1.0538815889684463
6 15360 -0.19545604949678208 -0.15006979031856144 0.060735618007332993 0.08561782827107717 0.9543695963747041 0.989197791116078 1.0538815889684463
7 17920 -0.2494538563857769 -0.2053977565554185 0.04840240861037912 0.08894636383528656 0.8660219165179759 0.9776588462332093 1.1376243758343443
8 20480 -0.26975322402300494 -0.22057036401623278 0.05715251135985859 0.10054394314511689 0.8660219165179759 0.9776588462332093 1.1376243758343443
9 23040 -0.29131078681669054 -0.23059523326755155 0.06552279712997146 0.10351325371334011 0.8660219165179759 0.9776588462332093 1.1376243758343443
10 25600 -0.3398803688099499 -0.2871111255469998 0.05897873404589424 0.12157277731390886 0.8124227197697205 0.9615708392663116 1.189685187549484
11 28160 -0.3911715958821216 -0.32429256906836484 0.03834801989557353 0.09234918940312956 0.8124227197697205 0.9615708392663116 1.189685187549484
12 30720 -0.42954887472669445 -0.3899307042850027 0.056953055495959415 0.16629613831458837 0.8124227197697205 0.9615708392663116 1.189685187549484
13 33280 -0.5053044022347796 -0.48314697120389877 0.13516918785070214 0.319117143171355 0.6902363806988496 0.8315848918590149 1.3535288347100638
14 35840 -0.5736331405530746 -0.5704623606621044 0.18965616523695605 0.4398582273123393 0.6902363806988496 0.8315848918590149 1.3535288347100638
15 38400 -0.6284771794563544 -0.6257799426069675 0.21746334625290836 0.49584720569014673 0.6902363806988496 0.8315848918590149 1.3535288347100638
16 40960 -0.7325105612581277 -0.7116257508594317 0.2674727716582571 0.5729541354321239 0.505380177389006 0.6629103933978752 1.5182689770351403
17 43520 -0.8527159561184207 -0.7847036034766087 0.29580704211141073 0.5879649046656054 0.505380177389006 0.6629103933978752 1.5182689770351403
18 46080 -0.9027777183825785 -0.7886395385041461 0.26891493233787556 0.5072949094067839 0.505380177389006 0.6629103933978752 1.5182689770351403
19 48640 -0.8902627237039467 -0.7415510103141635 0.18991675819936574 0.35169430098075893 0.32816685380462574 0.899267767015877 1.4434763590964181
20 51200 -0.8889475891657279 -0.7117284389847564 0.1403671715567659 0.2471798915563017 0.32816685380462574 0.899267767015877 1.4434763590964181
21 53760 -0.8900429384829807 -0.6921924338162749 0.10832595351190025 0.17731491128791949 0.32816685380462574 0.899267767015877 1.4434763590964181
22 56320 -0.8788239134176535 -0.6761855991335864 0.08352589514960815 0.13412474562660592 0.34450367201371906 0.9898204644274501 1.3789752239143716
23 58880 -0.8805043224468749 -0.6705636239799578 0.07029896490360113 0.10731246273120362 0.34450367201371906 0.9898204644274501 1.3789752239143716
24 61440 -0.8777108094539721 -0.684425471802088 0.08655990366275083 0.15026969116581299 0.34450367201371906 0.9898204644274501 1.3789752239143716
25 64000 -0.8775417593560335 -0.6869791292376933 0.08821072422052756 0.1560447119215944 0.3485539716152119 0.9802215040486568 1.3848017662726504
26 66560 -0.8650888592045874 -0.6781358097903674 0.07468141409436517 0.13866743930838923 0.3485539716152119 0.9802215040486568 1.3848017662726504
27 69120 -0.872544324675406 -0.6966717402598619 0.09841840520958187 0.18757586928385245 0.3485539716152119 0.9802215040486568 1.3848017662726504
28 71680 -0.8797385250326053 -0.6939788545254264 0.08652371102626707 0.16093156236965273 0.34629187436137826 0.9760024021764858 1.3883447873986534
29 74240 -0.8631949272111599 -0.6850529853738654 0.0657294314837896 0.13784829526571352 0.34629187436137826 0.9760024021764858 1.3883447873986534
30 76800 -0.8623602149117395 -0.6882401652659573 0.06734286606162153 0.14508382685836574 0.34629187436137826 0.9760024021764858 1.3883447873986534
31 79360 -0.8619191241733657 -0.6712355593620114 0.036284843998199874 0.08144141364024932 0.37134385067181525 0.9907849191542522 1.3712946395814178
32 81920 -0.8680432203299223 -0.656378425873136 -0.011643765585859037 -0.008397006613552967 0.37134385067181525 0.9907849191542522 1.3712946395814178
33 84480 -0.8759469408902358 -0.6740630173914051 0.003264947285544474 0.027157012012363476 0.37134385067181525 0.9907849191542522 1.3712946395814178
34 87040 -0.8664747659481915 -0.6754595619135154 0.015075697602187906 0.05423891340607957 0.36356166521398464 0.9936805612736767 1.3712847471381229
35 89600 -0.8680812031986619 -0.6771859186437775 0.02308561683249958 0.0656141774363743 0.36356166521398464 0.9936805612736767 1.3712847471381229
36 92160 -0.8828889238535498 -0.6835851680604436 0.05065927868618869 0.09610367180862645 0.36356166521398464 0.9936805612736767 1.3712847471381229
37 94720 -0.8663930213620565 -0.671291255492567 0.030363548346573538 0.06914671709013084 0.36529719979415026 0.9932224171436992 1.3711554200402596
38 97280 -0.862626710743541 -0.672798414860908 0.040275415992538685 0.08813839706105446 0.36529719979415026 0.9932224171436992 1.3711554200402596
