% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=676656, Thu Oct 16 01:45:45 2025, <python>{}</python>
1 2560 1.4835561466987202 0 0 0.17835221395720716 0.11308159153949039 1.164415632160994
2 5120 1.692066607021181 0 0 0.13197024361347617 0.12108910113865066 0.9957767915042034
3 7680 1.901770617620806 0 0 0.11360917713335071 0.12110990455662954 0.8018748504275102
4 10240 2.065292092709126 0 0 0.09975155841380869 0.11332125125544051 0.6511304491972879
5 12800 2.2057507498370055 0 0 0.0924129825047461 0.10931957555414475 0.5255121858917403
6 15360 2.255583207523206 0 0 0.08617509401293015 0.09560291338976457 0.4450623048980813
7 17920 2.3127751937374796 0 0 0.08433195566420261 0.08536489183957546 0.39644603805095124
8 20480 2.3582839378837916 0 0 0.08140060749238705 0.07483133736257826 0.3722143265447644
9 23040 2.3863220905696862 0 0 0.0798618842057785 0.07027582112663212 0.31315410093959484
10 25600 2.465535863290323 0 0 0.07816336297992697 0.06743376601732207 0.3120743164582043
11 28160 2.455272190506899 0 0 0.07704701997128144 0.05876601663475222 0.28702409233488885
12 30720 2.587565544772621 0 0 0.07878354210572415 0.059140880160422446 0.30123256866563597
13 33280 2.687670393924478 0 0 0.07431565458251277 0.058109564134067544 0.3008604842561916
14 35840 2.979089187344809 0 0 0.06985581727964275 0.06296999081522722 0.3217484462015762
15 38400 3.2659673420209363 0 0 0.05674634545195519 0.06736019114503373 0.3357052524401999
16 40960 3.7090945356592626 0 0 0.04064117762855854 0.0734753656878015 0.3529376473323291
17 43520 4.452399616957279 0 0 0.021369007524876762 0.07291848181338975 0.33449738303073917
18 46080 5.386156264442263 0 0 0.011283351336581534 0.06731872811263001 0.2578017031088994
19 48640 6.102197295363426 0 0 0.005105453865403425 0.04485536264311631 0.1389435839132999
20 51200 6.6331487539199845 0 0 0.002599825874859851 0.025455168539180506 0.07354850348944955
21 53760 6.8261438569760635 0 0 0.0012527880864122598 0.012845188032712588 0.03642960883984482
22 56320 6.862282131674124 0 0 0.0005936159243425632 0.006531426157977716 0.017648288180872707
23 58880 6.753600293452883 0 0 0.00028544145744636724 0.0032472092770964222 0.008608272555144932
24 61440 6.672363345959646 0 0 0.00014258719627888508 0.0015347917292520576 0.004183402436090583
25 64000 6.495411944191245 0 0 6.924322957862782e-05 0.0007523894147920912 0.002004020410831307
26 66560 6.34887636887108 0 0 3.304794021209441e-05 0.00037112503474162 0.0009371654552472606
27 69120 6.200456099240227 0 0 1.619877022913867e-05 0.00017551050762153208 0.00047432639629804577
28 71680 6.172931440048275 0 0 8.346181710757665e-06 8.483084078749315e-05 0.00023750549361379542
29 74240 6.148899639726353 0 0 4.080078909619793e-06 4.3583130043095574e-05 0.00011902346724215506
30 76800 6.058285896918521 0 0 2.0181821239155385e-06 2.088282991400048e-05 5.793688995253995e-05
31 79360 5.997946192982445 0 0 1.011411480881791e-06 1.044028693006074e-05 2.8743013793159942e-05
32 81920 5.924367741371001 0 0 5.169856205525731e-07 5.509646519995444e-06 1.4543646078994533e-05
33 84480 5.833886512891237 0 0 2.563772097629084e-07 2.8621601898938326e-06 7.334344222237579e-06
34 87040 5.728385275317393 0 0 1.2629424245365744e-07 1.4231803846746524e-06 3.563659610276524e-06
35 89600 5.71521153421776 0 0 6.497141535891862e-08 7.891534027683989e-07 1.8613102912078858e-06
36 92160 5.774596942825104 0 0 3.598923818484069e-08 3.873361200075847e-07 9.947995829407266e-07
37 94720 5.806539320376418 0 0 1.7815742934606442e-08 1.8650785458221897e-07 5.073201666728284e-07
38 97280 5.66844047747439 0 0 8.906133540067188e-09 8.897022742183958e-08 2.518140274890246e-07
39 99840 5.6526068696349565 0 0 4.415594646717566e-09 4.629370316993736e-08 1.2463833654831003e-07
40 102400 5.530832142163221 0 0 2.266933716642859e-09 2.2968493326638502e-08 6.317353726700625e-08
41 104960 5.459765486530337 0 0 1.0892794097265263e-09 1.1512982460193829e-08 3.068330894121874e-08
42 107520 5.424033575706946 0 0 6.275562434592317e-10 5.926658772267824e-09 1.765724783695482e-08
